sample_id,timestamp,amplitude_mean,amplitude_std,phase_mean,phase_std,label
walking_8,12,0.604,0.198,0.303,0.197,walking
walking_8,13,0.66,0.254,0.309,0.154,walking
walking_8,14,0.659,0.229,0.433,0.191,walking
walking_8,15,0.604,0.233,0.319,0.174,walking
walking_8,16,0.689,0.249,0.287,0.217,walking
walking_8,17,0.636,0.261,0.293,0.186,walking
walking_8,18,0.649,0.208,0.424,0.205,walking
walking_8,19,0.614,0.223,0.341,0.181,walking
walking_9,0,0.638,0.257,0.728,0.274,walking
walking_9,1,0.767,0.255,0.672,0.199,walking
walking_9,2,0.637,0.267,0.756,0.225,walking
walking_9,3,0.525,0.268,0.561,0.256,walking
walking_9,4,0.506,0.278,0.556,0.234,walking
walking_9,5,0.692,0.285,0.617,0.24,walking
walking_9,6,0.61,0.287,0.591,0.253,walking
walking_9,7,0.474,0.265,0.635,0.253,walking
walking_9,8,0.61,0.249,0.611,0.245,walking
walking_9,9,0.605,0.266,0.636,0.255,walking
walking_9,10,0.583,0.276,0.768,0.212,walking
walking_9,11,0.517,0.293,0.626,0.234,walking
walking_9,12,0.57,0.272,0.74,0.257,walking
walking_9,13,0.652,0.249,0.602,0.184,walking
walking_9,14,0.569,0.297,0.686,0.236,walking
walking_9,15,0.608,0.264,0.67,0.256,walking
walking_9,16,0.529,0.284,0.706,0.232,walking
walking_9,17,0.644,0.334,0.655,0.249,walking
walking_9,18,0.572,0.281,0.683,0.245,walking
walking_9,19,0.558,0.282,0.733,0.25,walking
walking_10,0,0.337,0.272,0.519,0.348,walking
walking_10,1,0.394,0.271,0.509,0.382,walking
walking_10,2,0.413,0.251,0.492,0.358,walking
walking_10,3,0.362,0.267,0.551,0.321,walking
walking_10,4,0.365,0.259,0.601,0.347,walking
walking_10,5,0.468,0.227,0.635,0.356,walking
walking_10,6,0.427,0.267,0.626,0.353,walking
walking_10,7,0.33,0.294,0.563,0.365,walking
walking_10,8,0.446,0.245,0.599,0.349,walking
walking_10,9,0.378,0.267,0.494,0.345,walking
walking_10,10,0.452,0.283,0.566,0.366,walking
walking_10,11,0.37,0.292,0.559,0.365,walking
walking_10,12,0.442,0.25,0.647,0.33,walking
walking_10,13,0.466,0.258,0.557,0.323,walking
walking_10,14,0.362,0.244,0.539,0.358,walking
walking_10,15,0.432,0.269,0.584,0.339,walking
walking_10,16,0.34,0.301,0.532,0.394,walking
walking_10,17,0.372,0.265,0.622,0.386,walking
walking_10,18,0.379,0.257,0.566,0.367,walking
walking_10,19,0.429,0.265,0.6,0.393,walking
walking_11,0,0.678,0.259,0.39,0.2,walking
walking_11,1,0.655,0.283,0.42,0.18,walking
walking_11,2,0.708,0.256,0.442,0.186,walking
walking_11,3,0.626,0.262,0.416,0.205,walking
walking_11,4,0.645,0.224,0.394,0.211,walking
walking_11,5,0.644,0.256,0.465,0.181,walking
walking_11,6,0.581,0.257,0.391,0.176,walking
walking_11,7,0.65,0.27,0.415,0.201,walking
walking_11,8,0.749,0.254,0.429,0.185,walking
walking_11,9,0.616,0.249,0.392,0.202,walking
walking_11,10,0.776,0.246,0.395,0.194,walking
walking_11,11,0.678,0.266,0.48,0.147,walking
walking_11,12,0.539,0.251,0.47,0.164,walking
walking_11,13,0.508,0.272,0.428,0.173,walking
walking_11,14,0.609,0.241,0.421,0.183,walking
walking_11,15,0.683,0.204,0.373,0.173,walking
walking_11,16,0.646,0.25,0.455,0.158,walking
walking_11,17,0.661,0.272,0.508,0.186,walking
walking_11,18,0.675,0.225,0.296,0.212,walking
walking_11,19,0.658,0.284,0.347,0.206,walking
walking_12,0,0.402,0.239,0.432,0.406,walking
walking_12,1,0.402,0.188,0.534,0.389,walking
walking_12,2,0.553,0.21,0.37,0.414,walking
walking_12,3,0.451,0.226,0.463,0.365,walking
walking_12,4,0.489,0.255,0.487,0.395,walking
walking_12,5,0.534,0.216,0.473,0.374,walking
walking_12,6,0.492,0.232,0.42,0.425,walking
walking_12,7,0.476,0.194,0.512,0.39,walking
walking_12,8,0.519,0.206,0.459,0.406,walking
walking_12,9,0.495,0.172,0.406,0.415,walking
walking_12,10,0.474,0.201,0.394,0.375,walking
walking_12,11,0.38,0.21,0.432,0.377,walking
walking_12,12,0.477,0.219,0.567,0.366,walking
walking_12,13,0.539,0.231,0.423,0.4,walking
walking_12,14,0.458,0.215,0.538,0.408,walking
walking_12,15,0.506,0.203,0.388,0.392,walking
walking_12,16,0.541,0.181,0.409,0.399,walking
walking_12,17,0.431,0.196,0.441,0.369,walking
walking_12,18,0.432,0.226,0.397,0.364,walking
walking_12,19,0.449,0.226,0.452,0.387,walking
walking_13,0,0.266,0.177,0.616,0.367,walking
walking_13,1,0.294,0.15,0.671,0.343,walking
walking_13,2,0.348,0.135,0.634,0.365,walking
walking_13,3,0.257,0.175,0.757,0.337,walking
walking_13,4,0.321,0.134,0.71,0.349,walking
walking_13,5,0.31,0.144,0.589,0.355,walking
walking_13,6,0.184,0.15,0.719,0.349,walking
walking_13,7,0.384,0.177,0.639,0.345,walking
walking_13,8,0.284,0.125,0.625,0.334,walking
walking_13,9,0.185,0.158,0.66,0.311,walking
walking_13,10,0.307,0.171,0.684,0.338,walking
walking_13,11,0.316,0.17,0.688,0.328,walking
walking_13,12,0.301,0.181,0.642,0.387,walking
walking_13,13,0.26,0.157,0.639,0.349,walking
walking_13,14,0.2,0.146,0.618,0.347,walking
walking_13,15,0.336,0.17,0.554,0.386,walking
walking_13,16,0.302,0.141,0.68,0.348,walking
walking_13,17,0.253,0.161,0.642,0.337,walking
walking_13,18,0.252,0.128,0.679,0.356,walking
walking_13,19,0.313,0.173,0.688,0.334,walking
walking_14,0,0.248,0.176,0.377,0.418,walking
walking_14,1,0.317,0.217,0.279,0.406,walking
walking_14,2,0.286,0.212,0.317,0.391,walking
walking_14,3,0.32,0.213,0.289,0.398,walking
walking_14,4,0.24,0.145,0.333,0.411,walking
walking_14,5,0.306,0.156,0.305,0.355,walking
walking_14,6,0.361,0.174,0.386,0.418,walking
walking_14,7,0.248,0.173,0.34,0.382,walking
walking_14,8,0.298,0.186,0.234,0.354,walking
walking_14,9,0.304,0.184,0.295,0.413,walking
walking_14,10,0.351,0.19,0.306,0.409,walking
walking_14,11,0.225,0.2,0.35,0.413,walking
walking_14,12,0.196,0.18,0.279,0.401,walking
walking_14,13,0.317,0.225,0.298,0.389,walking
walking_14,14,0.35,0.201,0.386,0.405,walking
walking_14,15,0.235,0.169,0.245,0.412,walking
walking_14,16,0.352,0.232,0.365,0.422,walking
walking_14,17,0.264,0.172,0.365,0.407,walking
walking_14,18,0.298,0.203,0.339,0.425,walking
walking_14,19,0.357,0.206,0.365,0.409,walking
walking_15,0,0.07,0.248,0.671,0.127,walking
walking_15,1,0.097,0.238,0.729,0.09,walking
walking_15,2,0.16,0.215,0.775,0.122,walking
walking_15,3,0.159,0.208,0.701,0.112,walking
walking_15,4,0.182,0.26,0.69,0.143,walking
walking_15,5,0.031,0.203,0.683,0.095,walking
walking_15,6,0.06,0.235,0.72,0.129,walking
walking_15,7,0.174,0.232,0.764,0.12,walking
walking_15,8,0.08,0.248,0.701,0.103,walking
walking_15,9,0.13,0.209,0.71,0.128,walking
walking_15,10,0.157,0.209,0.706,0.143,walking
walking_15,11,0.164,0.268,0.79,0.144,walking
walking_15,12,0.07,0.242,0.728,0.111,walking
walking_15,13,0.148,0.246,0.756,0.104,walking
walking_15,14,0.176,0.214,0.742,0.116,walking
walking_15,15,0.128,0.242,0.679,0.16,walking
walking_15,16,0.048,0.215,0.749,0.133,walking
walking_15,17,0.134,0.226,0.751,0.117,walking
walking_15,18,0.209,0.244,0.774,0.102,walking
walking_15,19,0.135,0.221,0.68,0.129,walking
walking_16,0,0.631,0.083,0.611,0.157,walking
walking_16,1,0.719,0.054,0.644,0.168,walking
walking_16,2,0.646,0.072,0.612,0.156,walking
walking_16,3,0.639,0.074,0.513,0.204,walking
walking_16,4,0.648,0.095,0.582,0.148,walking
walking_16,5,0.676,0.094,0.562,0.192,walking
walking_16,6,0.727,0.097,0.549,0.146,walking
walking_16,7,0.645,0.082,0.599,0.125,walking
walking_16,8,0.676,0.081,0.558,0.194,walking
walking_16,9,0.697,0.104,0.561,0.187,walking
walking_16,10,0.758,0.104,0.517,0.163,walking
walking_16,11,0.659,0.088,0.606,0.151,walking
walking_16,12,0.679,0.038,0.644,0.158,walking
walking_16,13,0.679,0.072,0.629,0.111,walking
walking_16,14,0.675,0.076,0.549,0.203,walking
walking_16,15,0.632,0.094,0.59,0.193,walking
walking_16,16,0.643,0.063,0.627,0.177,walking
walking_16,17,0.599,0.067,0.591,0.185,walking
walking_16,18,0.642,0.02,0.598,0.144,walking
walking_16,19,0.575,0.022,0.613,0.171,walking
walking_17,0,0.591,0.14,0.544,0.234,walking
walking_17,1,0.648,0.153,0.627,0.251,walking
walking_17,2,0.696,0.184,0.609,0.22,walking
walking_17,3,0.673,0.125,0.699,0.233,walking
walking_17,4,0.632,0.131,0.661,0.235,walking
walking_17,5,0.628,0.174,0.582,0.239,walking
walking_17,6,0.693,0.108,0.649,0.218,walking
walking_17,7,0.702,0.122,0.66,0.261,walking
walking_17,8,0.704,0.146,0.613,0.227,walking
walking_17,9,0.734,0.127,0.573,0.252,walking
walking_17,10,0.621,0.122,0.553,0.229,walking
walking_17,11,0.656,0.146,0.673,0.249,walking
walking_17,12,0.651,0.137,0.65,0.264,walking
walking_17,13,0.667,0.131,0.575,0.21,walking
walking_17,14,0.694,0.152,0.654,0.236,walking
walking_17,15,0.731,0.131,0.673,0.238,walking
walking_17,16,0.63,0.153,0.645,0.246,walking
walking_17,17,0.665,0.14,0.744,0.262,walking
walking_17,18,0.697,0.143,0.675,0.249,walking
walking_17,19,0.662,0.135,0.621,0.175,walking
walking_18,0,0.091,0.207,0.4,0.318,walking
walking_18,1,0.165,0.228,0.413,0.309,walking
walking_18,2,0.082,0.223,0.479,0.318,walking
walking_18,3,0.151,0.217,0.533,0.303,walking
walking_18,4,0.157,0.187,0.409,0.31,walking
walking_18,5,0.206,0.203,0.441,0.3,walking
walking_18,6,0.124,0.214,0.378,0.334,walking
walking_18,7,0.117,0.223,0.389,0.322,walking
walking_18,8,0.184,0.216,0.403,0.313,walking
walking_18,9,0.091,0.203,0.504,0.324,walking
walking_18,10,0.151,0.189,0.485,0.309,walking
walking_18,11,0.035,0.224,0.451,0.332,walking
walking_18,12,0.096,0.145,0.467,0.314,walking
walking_18,13,0.066,0.189,0.59,0.302,walking
walking_18,14,0.187,0.195,0.348,0.305,walking
walking_18,15,0.137,0.2,0.447,0.314,walking
walking_18,16,0.143,0.183,0.477,0.269,walking
walking_18,17,0.048,0.223,0.478,0.307,walking
walking_18,18,0.081,0.194,0.439,0.276,walking
walking_18,19,0.114,0.222,0.524,0.3,walking
walking_19,0,0.352,0.169,0.28,0.282,walking
walking_19,1,0.368,0.168,0.206,0.296,walking
walking_19,2,0.295,0.173,0.211,0.304,walking
walking_19,3,0.341,0.189,0.26,0.278,walking
walking_19,4,0.381,0.15,0.243,0.312,walking
walking_19,5,0.242,0.175,0.191,0.284,walking
walking_19,6,0.405,0.16,0.174,0.301,walking
walking_19,7,0.371,0.171,0.272,0.31,walking
walking_19,8,0.228,0.163,0.186,0.309,walking
walking_19,9,0.206,0.224,0.241,0.302,walking
walking_19,10,0.396,0.22,0.258,0.318,walking
walking_19,11,0.344,0.171,0.19,0.283,walking
walking_19,12,0.303,0.146,0.21,0.266,walking
walking_19,13,0.347,0.173,0.221,0.289,walking
walking_19,14,0.491,0.201,0.152,0.304,walking
walking_19,15,0.307,0.153,0.147,0.308,walking
walking_19,16,0.303,0.193,0.264,0.327,walking
walking_19,17,0.294,0.183,0.246,0.29,walking
walking_19,18,0.299,0.206,0.225,0.312,walking
walking_19,19,0.296,0.149,0.186,0.297,walking
sitting_0,0,0.481,0.058,0.351,0.126,sitting
sitting_0,1,0.396,0.038,0.403,0.165,sitting
sitting_0,2,0.423,0.023,0.384,0.13,sitting
sitting_0,3,0.422,0.072,0.412,0.15,sitting
sitting_0,4,0.384,0.05,0.424,0.139,sitting
sitting_0,5,0.515,0.072,0.454,0.153,sitting
sitting_0,6,0.477,0.074,0.393,0.137,sitting
sitting_0,7,0.425,0.051,0.306,0.144,sitting
sitting_0,8,0.502,0.002,0.448,0.169,sitting
sitting_0,9,0.425,0.057,0.371,0.171,sitting
sitting_0,10,0.497,0.018,0.4,0.143,sitting
sitting_0,11,0.452,0.031,0.458,0.168,sitting
sitting_0,12,0.411,0.019,0.351,0.155,sitting
sitting_0,13,0.46,0.071,0.41,0.166,sitting
sitting_0,14,0.464,0.018,0.361,0.168,sitting
sitting_0,15,0.445,0.056,0.355,0.126,sitting
sitting_0,16,0.441,0.052,0.338,0.142,sitting
sitting_0,17,0.401,0.068,0.356,0.176,sitting
sitting_0,18,0.524,0.044,0.32,0.105,sitting
sitting_0,19,0.374,0.018,0.44,0.149,sitting
sitting_1,0,0.368,0.159,0.615,0.148,sitting
sitting_1,1,0.342,0.163,0.596,0.163,sitting
sitting_1,2,0.248,0.176,0.581,0.126,sitting
sitting_1,3,0.32,0.161,0.622,0.177,sitting
sitting_1,4,0.394,0.145,0.565,0.106,sitting
sitting_1,5,0.263,0.155,0.623,0.09,sitting
sitting_1,6,0.406,0.172,0.55,0.112,sitting
sitting_1,7,0.433,0.177,0.587,0.11,sitting
sitting_1,8,0.357,0.152,0.481,0.156,sitting
sitting_1,9,0.361,0.17,0.584,0.1,sitting
sitting_1,10,0.344,0.13,0.7,0.09,sitting
sitting_1,11,0.302,0.153,0.651,0.115,sitting
sitting_1,12,0.291,0.187,0.623,0.126,sitting
sitting_1,13,0.389,0.21,0.696,0.101,sitting
sitting_1,14,0.434,0.17,0.612,0.081,sitting
sitting_1,15,0.345,0.146,0.628,0.137,sitting
sitting_1,16,0.25,0.162,0.643,0.111,sitting
sitting_1,17,0.39,0.169,0.604,0.11,sitting
sitting_1,18,0.292,0.14,0.622,0.115,sitting
sitting_1,19,0.346,0.154,0.571,0.136,sitting
sitting_2,0,0.241,0.165,0.357,0.373,sitting
sitting_2,1,0.18,0.129,0.389,0.336,sitting
sitting_2,2,0.249,0.135,0.361,0.388,sitting
sitting_2,3,0.256,0.163,0.309,0.37,sitting
sitting_2,4,0.244,0.112,0.406,0.414,sitting
sitting_2,5,0.239,0.143,0.363,0.353,sitting
sitting_2,6,0.148,0.119,0.289,0.401,sitting
sitting_2,7,0.234,0.126,0.403,0.345,sitting
sitting_2,8,0.201,0.135,0.41,0.377,sitting
sitting_2,9,0.252,0.135,0.378,0.371,sitting
sitting_2,10,0.188,0.134,0.305,0.369,sitting
sitting_2,11,0.215,0.184,0.356,0.339,sitting
sitting_2,12,0.233,0.144,0.442,0.355,sitting
sitting_2,13,0.16,0.15,0.289,0.358,sitting
sitting_2,14,0.227,0.132,0.393,0.353,sitting
sitting_2,15,0.226,0.133,0.366,0.369,sitting
sitting_2,16,0.261,0.15,0.378,0.376,sitting
sitting_2,17,0.16,0.134,0.382,0.382,sitting
sitting_2,18,0.205,0.12,0.33,0.378,sitting
sitting_2,19,0.291,0.125,0.404,0.369,sitting
sitting_3,0,0.786,0.019,0.224,0.091,sitting
sitting_3,1,0.774,0.002,0.067,0.107,sitting
sitting_3,2,0.755,0.071,0.101,0.085,sitting
sitting_3,3,0.762,0.029,0.106,0.108,sitting
sitting_3,4,0.788,0.032,0.085,0.105,sitting
sitting_3,5,0.71,0.01,0.126,0.082,sitting
sitting_3,6,0.728,0.007,0.138,0.144,sitting
sitting_3,7,0.683,0.024,0.104,0.108,sitting
sitting_3,8,0.759,0.004,0.1,0.115,sitting
sitting_3,9,0.8,0.026,0.092,0.112,sitting
sitting_3,10,0.702,0.047,0.079,0.107,sitting
sitting_3,11,0.776,0.001,0.018,0.099,sitting
sitting_3,12,0.8,0.006,0.068,0.126,sitting
sitting_3,13,0.732,0.002,0.118,0.123,sitting
sitting_3,14,0.867,0.029,0.168,0.098,sitting
sitting_3,15,0.697,0.014,0.116,0.086,sitting
sitting_3,16,0.74,0.021,0.128,0.118,sitting
sitting_3,17,0.763,0.002,0.085,0.084,sitting
sitting_3,18,0.838,0.013,0.099,0.089,sitting
sitting_3,19,0.895,0.009,0.089,0.116,sitting
sitting_4,0,0.613,0.206,0.51,0.324,sitting
sitting_4,1,0.596,0.235,0.504,0.3,sitting
sitting_4,2,0.66,0.194,0.532,0.296,sitting
sitting_4,3,0.714,0.211,0.465,0.252,sitting
sitting_4,4,0.706,0.219,0.446,0.272,sitting
sitting_4,5,0.642,0.181,0.454,0.26,sitting
sitting_4,6,0.645,0.196,0.413,0.323,sitting
sitting_4,7,0.728,0.195,0.508,0.291,sitting
sitting_4,8,0.725,0.195,0.549,0.272,sitting
sitting_4,9,0.599,0.225,0.559,0.335,sitting
sitting_4,10,0.605,0.225,0.474,0.298,sitting
sitting_4,11,0.592,0.186,0.456,0.284,sitting
sitting_4,12,0.633,0.224,0.546,0.295,sitting
sitting_4,13,0.746,0.219,0.434,0.31,sitting
sitting_4,14,0.635,0.229,0.573,0.292,sitting
sitting_4,15,0.591,0.193,0.561,0.279,sitting
sitting_4,16,0.669,0.226,0.53,0.288,sitting
sitting_4,17,0.655,0.205,0.538,0.294,sitting
sitting_4,18,0.653,0.233,0.488,0.266,sitting
sitting_4,19,0.628,0.191,0.481,0.307,sitting
sitting_5,0,0.442,0.032,0.31,0.056,sitting
sitting_5,1,0.528,0.012,0.374,0.049,sitting
sitting_5,2,0.527,0.036,0.294,0.049,sitting
sitting_5,3,0.541,0.001,0.293,0.04,sitting
sitting_5,4,0.53,0.06,0.281,0.035,sitting
sitting_5,5,0.492,0.02,0.303,0.06,sitting
sitting_5,6,0.465,0.045,0.235,0.034,sitting
sitting_5,7,0.501,0.069,0.306,0.001,sitting
sitting_5,8,0.417,0.037,0.351,0.052,sitting
sitting_5,9,0.526,0.059,0.293,0.063,sitting
sitting_5,10,0.436,0.018,0.23,0.039,sitting
sitting_5,11,0.515,0.038,0.323,0.026,sitting
sitting_5,12,0.508,0.006,0.388,0.039,sitting
sitting_5,13,0.493,0.068,0.258,0.022,sitting
sitting_5,14,0.462,0.035,0.341,0.06,sitting
sitting_5,15,0.646,0.009,0.35,0.034,sitting
sitting_5,16,0.488,0.024,0.274,0.079,sitting
sitting_5,17,0.559,0.036,0.387,0.015,sitting
sitting_5,18,0.451,0.008,0.285,0.048,sitting
sitting_5,19,0.522,0.039,0.249,0.061,sitting
sitting_6,0,0.642,0.2,0.048,0.357,sitting
sitting_6,1,0.763,0.196,0.065,0.365,sitting
sitting_6,2,0.66,0.217,0.097,0.387,sitting
sitting_6,3,0.71,0.183,0.069,0.382,sitting
sitting_6,4,0.701,0.207,0.088,0.325,sitting
